,date,event,tour,surname,first_name,fin_pos,r1_score,r2_score,r3_score,r4_score,r5_score,score_tot,field_av,adj_r1_score,adj_r2_score,adj_r3_score,adj_r4_score,adj_r5_score,adj_av
0,18-Nov-2018,RSM Classic,PGA,Harrington,Padraig,mc,73,66,,,,139,70.3,73.2,67.5,,,,70.3
1,11-Nov-2018,Nedbank Golf Challenge,European,Harrington,Padraig,35,73,73,74,69,,289,70.3,70.0,71.3,71.6,67.8,,70.2
2,04-Nov-2018,Turkish Airlines Open,European,Harrington,Padraig,35,65,70,71,72,,278,70.7,65.4,71.3,72.2,72.8,,70.4
3,21-Oct-2018,Andalucia Masters,European,Harrington,Padraig,66,72,74,73,,,219,71.6,70.9,72.7,72.9,,,72.2
4,14-Oct-2018,British Masters,European,Harrington,Padraig,22,73,74,71,70,,288,70.6,70.8,70.3,68.9,67.4,,69.4
5,07-Oct-2018,Alfred Dunhill Links Championship,European,Harrington,Padraig,7,69,72,69,69,,279,71.1,65.6,72.4,69.5,67.1,,68.7
6,23-Sep-2018,Portugal Masters,European,Harrington,Padraig,mc,73,69,,,,142,71.2,74.1,70.4,,,,72.2
7,16-Sep-2018,KLM Open,European,Harrington,Padraig,5,68,70,65,68,,271,71.2,68.5,69.3,65.0,68.9,,67.9
8,26-Aug-2018,Czech Masters,European,Harrington,Padraig,2,66,68,65,69,,268,71.8,67.6,68.4,65.1,69.2,,67.6
9,19-Aug-2018,Wyndham Championship,PGA,Harrington,Padraig,mc,69,73,,,,142,70.4,70.6,73.7,,,,72.2
10,12-Aug-2018,PGA Championship,PGA,Harrington,Padraig,mc,71,70,,,,141,69.5,69.2,69.9,,,,69.6
11,05-Aug-2018,Barracuda Championship,PGA,Harrington,Padraig,50,71,73,69,71,,284,71.2,70.5,72.3,68.1,70.9,,70.4
12,22-Jul-2018,British Open,European,Harrington,Padraig,mc,76,74,,,,150,69.6,72.4,70.8,,,,71.6
13,15-Jul-2018,Scottish Open,European,Harrington,Padraig,mc,73,71,,,,144,70.7,74.9,73.2,,,,74.0
14,08-Jul-2018,Irish Open,European,Harrington,Padraig,mc,68,78,,,,146,70.9,65.7,76.3,,,,71.0
15,24-Jun-2018,Travelers Championship,PGA,Harrington,Padraig,74,66,69,75,74,,284,70.0,66.2,69.0,75.6,74.8,,71.4
16,10-Jun-2018,St Jude Classic,PGA,Harrington,Padraig,56,68,72,71,71,,282,70.5,67.7,72.0,71.5,70.0,,70.3
17,03-Jun-2018,Italian Open,European,Harrington,Padraig,36,71,66,69,68,,274,71.1,72.9,66.9,70.3,70.0,,70.0
18,27-May-2018,BMW PGA Championship,European,Harrington,Padraig,mc,78,70,,,,148,70.8,76.2,69.1,,,,72.7
19,20-May-2018,Byron Nelson Championship,PGA,Harrington,Padraig,mc,69,70,,,,139,70.9,70.3,71.7,,,,71.0
20,29-Apr-2018,Zurich Classic of New Orleans,PGA,Harrington,Padraig,28,63,75,68,71,,277,70.1,67.2,71.2,72.6,68.6,,69.9
21,01-Apr-2018,Houston Open,PGA,Harrington,Padraig,mc,67,73,79,,,219,70.2,67.4,72.2,77.5,,,72.3
22,18-Mar-2018,Arnold Palmer Invitational,PGA,Harrington,Padraig,mc,71,75,,,,146,69.8,68.6,72.8,,,,70.7
23,11-Mar-2018,Valspar Championship,PGA,Harrington,Padraig,mc,76,73,,,,149,70.0,73.1,70.7,,,,71.9
24,25-Feb-2018,Honda Classic,PGA,Harrington,Padraig,mc,76,76,,,,152,70.0,73.4,72.8,,,,73.1
25,18-Feb-2018,Genesis Open,PGA,Harrington,Padraig,64,71,73,71,74,,289,70.0,68.8,70.8,70.0,72.2,,70.4
26,11-Feb-2018,AT&T; Pebble Beach National Pro-Am,PGA,Harrington,Padraig,mc,75,76,71,,,222,70.7,75.0,75.5,69.7,,,73.4
27,28-Jan-2018,Farmers Insurance Open,PGA,Harrington,Padraig,mc,72,72,,,,144,70.3,70.8,70.2,,,,70.5
28,19-Nov-2017,RSM Classic,PGA,Harrington,Padraig,54,71,67,74,66,,278,70.5,71.8,67.2,75.8,66.8,,70.4
29,12-Nov-2017,Nedbank Golf Challenge,European,Harrington,Padraig,42,74,72,71,75,,292,70.6,72.1,68.4,69.4,73.9,,70.9
30,05-Nov-2017,Turkish Airlines Open,European,Harrington,Padraig,4,65,72,64,67,,268,71.7,66.2,73.4,66.1,68.4,,68.5
